Hb_calib,hsa.miR.191.5p
15.407,24.6024722222222
2.715,27.7344722222222
1.398,28.2544722222222
0.716,30.0584722222222
0.4,30.5064722222222
0.242,30.8804722222222
0.163,31.1904722222222
0.128,30.4054722222222
0,32.9597222222222
